chr	start	end	length	abs_summit	pileup	-logp	fold_enrichment	-logq	name
1	142203	142238	36	142221	17.83	11.40748	6.39459	7.32493	rna_meth_peak_1
1	187628	187666	39	187638	19.7	9.67585	4.9669	5.88208	rna_meth_peak_2
1	633263	633300	38	633280	65.67	11.72738	2.64661	7.59136	rna_meth_peak_3
1	930369	930437	69	930388	16.89	7.6893	4.48532	4.22958	rna_meth_peak_4
1	935618	935654	37	935634	18.76	10.49484	5.61473	6.55535	rna_meth_peak_5
1	935952	936042	91	936007	18.76	9.25272	4.94096	5.52707	rna_meth_peak_6
1	948333	948404	72	948370	34.71	13.41702	4.47511	9.01161	rna_meth_peak_7
1	951338	951406	69	951388	21.58	12.94282	6.24196	8.61014	rna_meth_peak_8
1	951844	951954	111	951949	19.7	8.1922	4.23528	4.64909	rna_meth_peak_9
1	952202	952312	111	952262	30.02	12.68906	4.56477	8.39291	rna_meth_peak_10
1	954174	954209	36	954191	24.39	13.11672	5.67568	8.75932	rna_meth_peak_11
1	956276	956312	37	956280	19.7	8.16598	4.22284	4.63032	rna_meth_peak_12
1	958859	958894	36	958860	18.76	6.6758	3.6654	3.39666	rna_meth_peak_13
1	962966	963008	43	962987	18.76	8.60908	4.60653	4.99967	rna_meth_peak_14
1	1040930	1041054	125	1041029	22.52	14.22676	6.68086	9.68143	rna_meth_peak_15
1	1041345	1041474	130	1041446	28.15	21.62086	8.93823	16.00146	rna_meth_peak_16
1	1041775	1041874	100	1041850	25.33	17.17745	7.45757	12.17891	rna_meth_peak_17
1	1043404	1043551	148	1043548	20.64	8.71601	4.32805	5.07322	rna_meth_peak_18
1	1045565	1045685	121	1045625	28.15	12.61095	4.79687	8.33185	rna_meth_peak_19
1	1046342	1046400	59	1046370	30.96	11.29554	4.21196	7.23161	rna_meth_peak_20
1	1049073	1049236	164	1049182	26.27	14.02371	5.7049	9.5104	rna_meth_peak_21
1	1049413	1049603	191	1049427	22.52	10.22378	4.70332	6.33261	rna_meth_peak_22
1	1049743	1049877	135	1049764	31.9	18.08151	6.68615	12.94629	rna_meth_peak_23
1	1050073	1050148	76	1050095	26.27	11.47615	4.63355	7.38271	rna_meth_peak_24
1	1218665	1218746	82	1218690	35.65	9.0971	3.15416	5.39511	rna_meth_peak_25
1	1268062	1268117	56	1268091	17.83	7.80084	4.36588	4.32497	rna_meth_peak_26
1	1295624	1295710	87	1295694	15.95	7.39373	4.51067	3.98442	rna_meth_peak_27
1	1338158	1338237	80	1338223	29.08	11.02246	4.10087	7.00445	rna_meth_peak_28
1	1338451	1338488	38	1338485	25.33	8.85393	3.75516	5.19414	rna_meth_peak_29
1	1339908	1339974	67	1339935	26.27	11.97717	4.83466	7.79585	rna_meth_peak_30
1	1341871	1341975	105	1341949	30.02	13.03855	4.68896	8.69021	rna_meth_peak_31
1	1342221	1342291	71	1342240	30.02	11.83918	4.27067	7.68498	rna_meth_peak_32
1	1392079	1392150	72	1392146	25.33	8.22995	3.53041	4.68361	rna_meth_peak_33
1	1398436	1398490	55	1398446	27.21	9.56088	3.80402	5.78285	rna_meth_peak_34
1	1450204	1450272	69	1450227	16.89	14.6607	8.75121	10.0515	rna_meth_peak_35
1	1456048	1456087	40	1456065	18.76	15.06291	8.34622	10.38695	rna_meth_peak_36
1	1477466	1477503	38	1477490	16.89	9.74833	5.66059	5.93793	rna_meth_peak_37
1	1486337	1486407	71	1486392	17.83	11.95018	6.72345	7.77179	rna_meth_peak_38
1	1489050	1489092	43	1489057	12.2	9.45864	6.13221	5.69486	rna_meth_peak_39
1	1490445	1490515	71	1490476	20.64	10.15454	5.01861	6.28139	rna_meth_peak_40
1	1520409	1520447	39	1520432	30.96	11.65415	4.33537	7.53078	rna_meth_peak_41
1	1522923	1522967	45	1522933	17.83	10.54636	5.88376	6.59695	rna_meth_peak_42
1	1523687	1523782	96	1523718	24.39	14.21042	6.19947	9.668	rna_meth_peak_43
1	1524042	1524120	79	1524053	18.76	8.34329	4.47146	4.77678	rna_meth_peak_44
1	1526299	1526353	55	1526321	17.83	12.4659	7.04026	8.20852	rna_meth_peak_45
1	1527880	1528021	142	1527885	19.7	8.88864	4.57201	5.22371	rna_meth_peak_46
1	1529408	1529480	73	1529463	16.89	9.85775	5.72582	6.03245	rna_meth_peak_47
1	1533868	1533940	73	1533930	23.45	9.58515	4.27831	5.8059	rna_meth_peak_48
1	1534247	1534291	45	1534247	19.7	6.0438	3.2715	2.86913	rna_meth_peak_49
1	1534407	1534525	119	1534440	29.08	12.93262	4.78131	8.60068	rna_meth_peak_50
1	1543741	1543805	65	1543786	25.33	12.37345	5.15894	8.13274	rna_meth_peak_51
1	1544702	1544812	111	1544721	23.45	10.70469	4.75775	6.73583	rna_meth_peak_52
1	1636535	1636621	87	1636612	25.33	11.20196	4.66534	7.14997	rna_meth_peak_53
1	1637258	1637306	49	1637283	24.39	11.73105	5.04631	7.59409	rna_meth_peak_54
1	1637599	1637684	86	1637612	21.58	8.72856	4.1874	5.08454	rna_meth_peak_55
1	1754439	1754533	95	1754460	34.71	16.3159	5.45739	11.44607	rna_meth_peak_56
1	1765076	1765143	68	1765120	15.01	9.4934	5.43855	5.72213	rna_meth_peak_57
1	1778181	1778276	96	1778240	23.45	21.09637	10.3272	15.54358	rna_meth_peak_58
1	1786167	1786475	309	1786369	35.65	15.15692	4.92361	10.47274	rna_meth_peak_59
1	1787159	1787208	50	1787179	45.03	12.46127	3.3848	8.20408	rna_meth_peak_60
1	1788903	1789022	120	1788939	25.33	8.20118	3.52021	4.65707	rna_meth_peak_61
1	1790239	1790300	62	1790284	20.64	9.16321	4.5375	5.45228	rna_meth_peak_62
1	1790609	1790755	147	1790731	23.45	12.58982	5.62438	8.31491	rna_meth_peak_63
1	1793079	1793133	55	1793095	20.64	17.69164	9.30843	12.61127	rna_meth_peak_64
1	1793422	1793465	44	1793443	14.07	10.95378	6.56485	6.94319	rna_meth_peak_65
1	1804250	1804405	156	1804269	23.45	12.49327	5.5782	8.23233	rna_meth_peak_66
1	1804597	1804746	150	1804611	23.45	12.58982	5.62438	8.31491	rna_meth_peak_67
1	1806307	1806368	62	1806329	19.7	15.04501	8.01163	10.37163	rna_meth_peak_68
1	1806639	1806698	60	1806663	24.39	21.09206	9.96586	15.53982	rna_meth_peak_69
1	1815603	1815657	55	1815631	19.7	7.62957	3.972	4.18088	rna_meth_peak_70
1	1815943	1816006	64	1815975	25.33	11.65006	4.851	7.52781	rna_meth_peak_71
1	1817672	1817710	39	1817688	22.52	19.8512	9.93101	14.46632	rna_meth_peak_72
1	1818005	1818040	36	1818020	15.01	12.22861	7.08455	8.00444	rna_meth_peak_73
1	1825240	1825323	84	1825297	25.33	12.98425	5.42688	8.64523	rna_meth_peak_74
1	1825577	1825652	76	1825589	18.76	7.66448	4.1347	4.21104	rna_meth_peak_75
1	1839023	1839064	42	1839041	22.52	16.75198	8.08687	11.81976	rna_meth_peak_76
1	1839361	1839401	41	1839381	22.52	16.92731	8.18824	11.96837	rna_meth_peak_77
1	2391993	2392040	48	2392018	26.27	13.02037	5.26843	8.67459	rna_meth_peak_78
1	2514205	2514264	60	2514238	20.64	18.22111	9.63673	13.06993	rna_meth_peak_79
1	2518383	2518418	36	2518395	12.2	8.31418	5.4084	4.74999	rna_meth_peak_80
1	2526333	2526368	36	2526357	10.32	7.12083	5.08998	3.75578	rna_meth_peak_81
1	2586981	2587030	50	2586999	17.83	14.68614	8.43746	10.06925	rna_meth_peak_82
1	3646849	3646931	83	3646916	11.26	12.45293	8.15047	8.19714	rna_meth_peak_83
1	3647241	3647365	125	3647339	13.13	11.34488	7.06735	7.27154	rna_meth_peak_84
1	3649815	3649876	62	3649846	15.01	14.42006	8.42689	9.84393	rna_meth_peak_85
1	3900057	3900092	36	3900068	12.2	10.34566	6.69194	6.43217	rna_meth_peak_86
1	6185182	6185387	206	6185216	20.64	10.92847	5.41006	6.92413	rna_meth_peak_87
1	6185441	6185489	49	6185457	20.64	10.50069	5.192	6.56058	rna_meth_peak_88
1	6192776	6192876	101	6192810	31.9	13.22255	4.76514	8.84483	rna_meth_peak_89
1	6193117	6193182	66	6193142	30.02	12.62074	4.54072	8.33881	rna_meth_peak_90
1	6197489	6197590	102	6197512	32.84	19.84217	7.24245	14.45923	rna_meth_peak_91
1	6199386	6199430	45	6199412	28.15	12.76924	4.85763	8.46449	rna_meth_peak_92
1	6233696	6233803	108	6233790	10.32	7.51947	5.34977	4.08954	rna_meth_peak_93
1	6294706	6294800	95	6294736	16.89	9.23066	5.35553	5.50933	rna_meth_peak_94
1	6295045	6295100	56	6295066	20.64	13.44233	6.77104	9.0328	rna_meth_peak_95
1	6318338	6318400	63	6318373	13.13	11.10083	6.91521	7.06615	rna_meth_peak_96
1	6318687	6318747	61	6318715	20.64	19.45367	10.40396	14.11716	rna_meth_peak_97
1	6327144	6327242	99	6327214	18.76	13.12781	7.15045	8.76909	rna_meth_peak_98
1	6327477	6327549	73	6327517	20.64	14.92669	7.63055	10.27278	rna_meth_peak_99
